,Car_name,Year,Distance,Fuel_type,Drive,Price
91,2019 Maruti New Wagon-R VXI (O) 1.0,2019,"57,936 KM",PETROL,MANUAL,₹5.13 Lakh
92,2020 Hyundai NEW SANTRO MAGNA,2020,"29,027 KM",PETROL,MANUAL,₹4.97 Lakh
93,2017 Maruti IGNIS ZETA 1.2 AMT DUAL TONE,2017,"41,186 KM",PETROL,AUTOMATIC,₹5.32 Lakh
94,2016 Maruti Alto 800 LXI,2016,"71,670 KM",PETROL,MANUAL,₹2.86 Lakh
95,2017 Honda WR-V 1.5L I-DTEC S MT,2017,"71,092 KM",DIESEL,MANUAL,"₹6.76 Lakh
₹7.35 Lakh
(59k off)"
96,2015 Maruti Swift Dzire LXI (O),2015,"27,571 KM",PETROL,MANUAL,"₹4.02 Lakh
₹4.48 Lakh
(46k off)"
97,2022 KIA SONET HTE 1.5,2022,"16,864 KM",DIESEL,MANUAL,₹9.26 Lakh
98,2014 Maruti Ertiga VXI,2014,"65,000 KM",PETROL,MANUAL,₹5.57 Lakh
99,2021 Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,2021,"10,826 KM",PETROL,AUTOMATIC,"₹7.74 Lakh
₹7.84 Lakh
(10k off)"
100,2019 Honda Amaze 1.2L I-VTEC S,2019,"37,264 KM",PETROL,MANUAL,₹5.99 Lakh
101,2013 Maruti Swift Dzire VXI,2013,"1,06,215 KM",PETROL,MANUAL,₹4.55 Lakh
102,2021 Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,2021,"15,700 KM",PETROL,AUTOMATIC,"₹6.68 Lakh
₹7.33 Lakh
(65k off)"
103,2022 Maruti Swift VXI,2022,"27,924 KM",PETROL,MANUAL,₹6.60 Lakh
104,2014 Hyundai Eon ERA +,2014,"69,639 KM",PETROL,MANUAL,₹2.23 Lakh
105,2014 Maruti Swift VXI,2014,"32,386 KM",PETROL,MANUAL,"₹3.81 Lakh
₹4.22 Lakh
(41k off)"
106,2021 Maruti Swift VXI,2021,"9,454 KM",PETROL,MANUAL,"₹6.82 Lakh
₹6.88 Lakh
(6k off)"
107,2018 Maruti Dzire VXI AMT,2018,"83,337 KM",PETROL,AUTOMATIC,"₹5.97 Lakh
₹6.31 Lakh
(34k off)"
108,2015 Maruti Celerio ZXI AMT,2015,"75,112 KM",PETROL,AUTOMATIC,₹4.19 Lakh
109,2021 Hyundai VENUE SX 1.0 TURBO IMT,2021,"30,626 KM",PETROL,MANUAL,₹9.71 Lakh
110,2021 Nissan MAGNITE XV MT,2021,"53,265 KM",PETROL,MANUAL,₹6.98 Lakh
111,2020 Tata NEXON XM PETROL,2020,"45,935 KM",PETROL,MANUAL,₹7.61 Lakh
112,2021 Maruti Vitara Brezza ZXI,2021,"47,963 KM",PETROL,MANUAL,₹8.36 Lakh
113,2021 Tata NEXON XZ PETROL,2021,"8,119 KM",PETROL,MANUAL,₹9.29 Lakh
114,2021 Tata TIGOR XM PETROL,2021,"39,090 KM",PETROL,MANUAL,₹6.06 Lakh
115,2017 Honda Amaze 1.2L I-VTEC S,2017,"78,868 KM",PETROL,MANUAL,₹4.39 Lakh
116,2014 Maruti Wagon R Stingray VXI,2014,"96,964 KM",PETROL,MANUAL,₹3.54 Lakh
117,2014 Maruti Swift VDI,2014,"82,386 KM",DIESEL,MANUAL,₹3.99 Lakh
118,2014 Maruti Celerio VXI,2014,"50,026 KM",PETROL,MANUAL,₹3.46 Lakh
119,2022 Maruti Celerio VXI CNG,2022,"48,731 KM",CNG,MANUAL,"₹6.92 Lakh
₹7.08 Lakh
(16k off)"
120,2017 Maruti Vitara Brezza VDI (O),2017,"89,916 KM",DIESEL,MANUAL,₹7.69 Lakh
121,2021 Maruti Baleno ZETA PETROL 1.2,2021,"21,827 KM",PETROL,MANUAL,₹7.49 Lakh
122,2016 Maruti Swift Dzire VDI ABS,2016,"83,828 KM",DIESEL,MANUAL,"₹6.23 Lakh
₹6.59 Lakh
(36k off)"
123,2020 Hyundai AURA SX 1.2,2020,"9,017 KM",PETROL,MANUAL,₹7.28 Lakh
124,2021 Tata ALTROZ XE PETROL,2021,"9,278 KM",PETROL,MANUAL,"₹6.09 Lakh
₹6.38 Lakh
(29k off)"
125,2022 Maruti IGNIS ZETA 1.2,2022,"19,562 KM",PETROL,MANUAL,₹6.60 Lakh
126,2015 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,2015,"55,222 KM",PETROL,MANUAL,₹4.97 Lakh
127,2014 Hyundai Xcent S 1.2,2014,"24,478 KM",PETROL,MANUAL,₹3.53 Lakh
128,2016 Hyundai Creta SX PLUS AT 1.6 PETROL,2016,"45,445 KM",PETROL,AUTOMATIC,"₹9.14 Lakh
₹9.35 Lakh
(20.7k off)"
129,2013 Maruti Alto 800 LXI,2013,"81,062 KM",PETROL,MANUAL,₹2.05 Lakh
130,2022 Maruti Alto LXI O,2022,"7,278 KM",PETROL,MANUAL,"₹3.91 Lakh
₹4.22 Lakh
(30.8k off)"
131,2020 Maruti Alto VXI,2020,"17,009 KM",PETROL,MANUAL,₹3.97 Lakh
132,2022 Maruti IGNIS ALPHA 1.2 AMT,2022,"22,309 KM",PETROL,AUTOMATIC,"₹7.43 Lakh
₹7.93 Lakh
(50k off)"
133,2021 Tata PUNCH CREATIVE MT,2021,"37,860 KM",PETROL,MANUAL,₹8.16 Lakh
134,2016 Maruti Swift Dzire VXI (O),2016,"70,663 KM",PETROL,MANUAL,"₹5.69 Lakh
₹5.90 Lakh
(21k off)"
135,2015 Renault Duster 85 PS RXE DIESEL,2015,"91,542 KM",DIESEL,MANUAL,₹4.63 Lakh
136,2013 Hyundai i10 MAGNA 1.2,2013,"69,725 KM",PETROL,MANUAL,"₹2.74 Lakh
₹2.86 Lakh
(12k off)"
137,2016 Hyundai Eon MAGNA +,2016,"13,699 KM",PETROL,MANUAL,₹2.55 Lakh
138,2015 Hyundai Elite i20 MAGNA 1.2,2015,"59,786 KM",CNG,MANUAL,₹5.54 Lakh
139,2019 Tata NEXON KRAZ MT DIESEL,2019,"63,271 KM",DIESEL,MANUAL,₹6.87 Lakh
140,2022 Nissan MAGNITE XL,2022,"41,155 KM",PETROL,MANUAL,"₹6.93 Lakh
₹7.07 Lakh
(14k off)"
141,2017 Hyundai Creta SX PLUS 1.6 PETROL,2017,"91,997 KM",PETROL,MANUAL,₹9.37 Lakh
142,2021 Maruti Baleno DELTA PETROL 1.2,2021,"28,154 KM",PETROL,MANUAL,₹6.94 Lakh
143,2016 Skoda Rapid 1.5 TDI AT STYLE PLUS,2016,"55,121 KM",DIESEL,AUTOMATIC,"₹6.89 Lakh
₹7.25 Lakh
(36k off)"
144,2020 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT DUAL TONE,2020,"17,472 KM",PETROL,MANUAL,"₹7.07 Lakh
₹7.49 Lakh
(42k off)"
145,2018 Maruti Alto K10 VXI,2018,"57,031 KM",PETROL,MANUAL,₹3.43 Lakh
146,2020 Datsun Redi Go T(O) 1.0 AMT,2020,"16,537 KM",PETROL,AUTOMATIC,₹4.74 Lakh
147,2018 Honda City 1.5L I-VTEC ZX CVT,2018,"1,00,483 KM",PETROL,AUTOMATIC,₹8.58 Lakh
148,2022 Tata NEXON XZA PLUS PETROL DARK EDITION,2022,"17,969 KM",PETROL,AUTOMATIC,"₹10.72 Lakh
₹11.13 Lakh
(41k off)"
149,2016 Maruti Baleno DELTA PETROL 1.2,2016,"39,920 KM",PETROL,MANUAL,₹5.61 Lakh
150,2016 Volkswagen Polo TRENDLINE 1.2L PETROL,2016,"81,433 KM",PETROL,MANUAL,₹4.28 Lakh
151,2018 Renault Kwid RXL,2018,"18,149 KM",PETROL,MANUAL,₹3.08 Lakh
152,2012 Maruti Swift Dzire VDI,2012,"1,10,904 KM",DIESEL,MANUAL,₹4.47 Lakh
153,2020 Tata NEXON XZA PLUS (O) PETROL DUAL TONE,2020,"59,046 KM",PETROL,AUTOMATIC,₹10.90 Lakh
154,2012 Maruti Wagon R 1.0 VXI,2012,"63,662 KM",PETROL,MANUAL,₹2.80 Lakh
155,2022 Maruti Dzire ZXI AMT,2022,"42,000 KM",PETROL,AUTOMATIC,₹8.01 Lakh
156,2016 Maruti Swift VXI,2016,"66,545 KM",PETROL,MANUAL,₹5.09 Lakh
157,2021 Tata Tiago XT PETROL,2021,"52,679 KM",PETROL,MANUAL,₹6.02 Lakh
158,2022 Maruti Baleno ZETA PETROL 1.2,2022,"34,474 KM",PETROL,MANUAL,₹8.20 Lakh
159,2019 Ford Ecosport TITANIUM 1.5L PETROL,2019,"64,106 KM",PETROL,MANUAL,₹7.99 Lakh
160,2019 Honda Amaze 1.5L I-DTEC V CVT,2019,"54,392 KM",DIESEL,AUTOMATIC,₹8.11 Lakh
161,2017 Maruti Dzire VXI,2017,"99,781 KM",PETROL,MANUAL,"₹6.54 Lakh
₹6.73 Lakh
(19k off)"
162,2022 Mahindra XUV300 W8 (O) 1.2 PETROL AMT,2022,"11,911 KM",PETROL,AUTOMATIC,₹13.25 Lakh
163,2021 Maruti Alto LXI,2021,"6,820 KM",PETROL,MANUAL,₹3.76 Lakh
164,2020 Maruti S PRESSO VXI PLUS AMT,2020,"34,771 KM",PETROL,AUTOMATIC,₹4.63 Lakh
165,2017 Tata Tiago XZ PETROL,2017,"79,584 KM",PETROL,MANUAL,₹4.44 Lakh
166,2015 Honda City 1.5L I-VTEC SV,2015,"65,051 KM",PETROL,MANUAL,"₹5.58 Lakh
₹6.13 Lakh
(55k off)"
167,2022 Maruti Dzire VXI AMT,2022,"16,023 KM",PETROL,AUTOMATIC,₹8.35 Lakh
168,2018 Hyundai NEW SANTRO SPORTZ MT,2018,"22,539 KM",PETROL,MANUAL,₹4.41 Lakh
169,2016 Maruti Wagon R 1.0 VXI,2016,"75,999 KM",PETROL,MANUAL,₹3.67 Lakh
170,2018 Jeep Compass LONGITUDE PLUS 1.4 PETROL AT,2018,"42,770 KM",PETROL,AUTOMATIC,₹14.83 Lakh
171,2018 Maruti Celerio ZXI (O),2018,"70,785 KM",PETROL,MANUAL,₹5.15 Lakh
172,2020 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,2020,"22,924 KM",PETROL,MANUAL,₹6.02 Lakh
173,2020 Maruti Vitara Brezza VXI,2020,"54,344 KM",PETROL,MANUAL,"₹8.02 Lakh
₹8.56 Lakh
(54k off)"
174,2017 Maruti Ciaz DELTA 1.4 MT PETROL,2017,"1,05,756 KM",PETROL,MANUAL,₹5.91 Lakh
175,2016 Maruti Ciaz VXI (O),2016,"79,730 KM",PETROL,MANUAL,₹4.78 Lakh
176,2022 Renault Kwid RXT 1.0,2022,"12,692 KM",PETROL,MANUAL,₹5.40 Lakh
177,2022 Tata ALTROZ XZ PLUS PETROL,2022,"19,179 KM",PETROL,MANUAL,₹8.24 Lakh
178,2021 Maruti New Wagon-R LXI CNG (O) 1.0,2021,"50,418 KM",CNG,MANUAL,₹6.29 Lakh
179,2016 Hyundai Eon ERA +,2016,"35,023 KM",PETROL,MANUAL,₹3.43 Lakh
180,2021 Nissan MAGNITE XE,2021,"30,455 KM",PETROL,MANUAL,₹5.78 Lakh
181,2020 Ford Ecosport TITANIUM + 1.5L PETROL AT,2020,"31,546 KM",PETROL,AUTOMATIC,₹9.17 Lakh
182,2012 Maruti Wagon R 1.0 LXI,2012,"71,101 KM",PETROL,MANUAL,₹2.91 Lakh
183,2016 Hyundai Elite i20 SPORTZ 1.2,2016,"80,528 KM",PETROL,MANUAL,"₹5.62 Lakh
₹5.94 Lakh
(32k off)"
184,2021 Maruti New Wagon-R ZXI 1.2 AMT,2021,"33,513 KM",PETROL,AUTOMATIC,₹6.61 Lakh
185,2021 Tata NEXON XZ PLUS PETROL,2021,"33,905 KM",PETROL,MANUAL,₹9.36 Lakh
186,2017 Maruti Baleno ZETA PETROL 1.2,2017,"80,312 KM",PETROL,MANUAL,₹5.26 Lakh
187,2019 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,2019,"25,709 KM",PETROL,MANUAL,₹5.88 Lakh
188,2019 Tata NEXON XM DIESEL,2019,"68,574 KM",DIESEL,MANUAL,"₹6.29 Lakh
₹6.70 Lakh
(41k off)"
189,2022 Mahindra XUV300 W6 1.2 PETROL AMT,2022,"16,432 KM",PETROL,AUTOMATIC,₹10.17 Lakh
190,2021 Maruti S PRESSO VXI+,2021,"9,285 KM",PETROL,MANUAL,₹4.42 Lakh
191,2017 Maruti Ciaz ALPHA 1.4 PETROL,2017,"43,537 KM",PETROL,MANUAL,₹6.95 Lakh
192,2023 Tata NEXON XM PLUS SUNROOF PETROL,2023,"18,020 KM",PETROL,MANUAL,₹9.55 Lakh
193,2019 Datsun Redi Go D,2019,"49,573 KM",PETROL,MANUAL,₹2.33 Lakh
194,2018 Hyundai Elite i20 ASTA 1.2 DUAL TONE,2018,"40,288 KM",PETROL,MANUAL,₹5.69 Lakh
195,2017 Renault Kwid RXT 0.8,2017,"79,094 KM",PETROL,MANUAL,₹2.06 Lakh
196,2020 Renault Kwid RXT 1.0 AMT (O),2020,"38,494 KM",PETROL,AUTOMATIC,₹5.47 Lakh
197,2020 Hyundai Verna SX 1.5 VTVT,2020,"38,431 KM",PETROL,MANUAL,₹9.69 Lakh
198,2021 Honda WR-V 1.2L I-VTEC VX MT,2021,"25,061 KM",PETROL,MANUAL,₹8.69 Lakh
199,2021 Maruti Baleno DELTA PETROL 1.2,2021,"30,880 KM",PETROL,MANUAL,₹7.05 Lakh
200,2018 Maruti Celerio VXI CNG,2018,"71,263 KM",CNG,MANUAL,₹4.36 Lakh
201,2019 Renault Kwid RXT 1.0 AMT (O),2019,"23,998 KM",PETROL,AUTOMATIC,₹5.54 Lakh
202,2020 Maruti Dzire VXI,2020,"14,676 KM",PETROL,MANUAL,₹6.51 Lakh
203,2018 Maruti Baleno DELTA CVT PETROL 1.2,2018,"40,667 KM",PETROL,AUTOMATIC,"₹5.28 Lakh
₹5.85 Lakh
(57k off)"
204,2020 Maruti Alto VXI,2020,"35,457 KM",PETROL,MANUAL,₹3.61 Lakh
205,2012 Hyundai i10 SPORTZ 1.2 AT,2012,"86,618 KM",PETROL,AUTOMATIC,"₹2.94 Lakh
₹3.31 Lakh
(37k off)"
206,2022 Mahindra XUV300 W8 (O) 1.2 PETROL AMT,2022,"11,682 KM",PETROL,AUTOMATIC,₹12.75 Lakh
207,2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,2015,"45,766 KM",PETROL,MANUAL,₹4.83 Lakh
208,2019 Maruti S PRESSO VXI+,2019,"8,458 KM",PETROL,MANUAL,"₹4.54 Lakh
₹4.89 Lakh
(35k off)"
209,2012 Honda City 1.5L I-VTEC S MT,2012,"57,242 KM",PETROL,MANUAL,₹4.99 Lakh
210,2023 Tata NEXON XE PETROL,2023,390 KM,PETROL,MANUAL,₹8.04 Lakh
211,2016 Ford Ecosport TREND 1.5L PETROL,2016,"49,772 KM",PETROL,MANUAL,₹6.37 Lakh
212,2016 Renault Kwid RXT 0.8 (O),2016,"29,245 KM",PETROL,MANUAL,₹3.03 Lakh
213,2015 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,2015,"26,690 KM",PETROL,MANUAL,"₹3.35 Lakh
₹3.47 Lakh
(12k off)"
214,2019 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,2019,"29,932 KM",PETROL,MANUAL,"₹5.42 Lakh
₹5.91 Lakh
(49k off)"
215,2016 Hyundai Creta SX PLUS 1.6 PETROL,2016,"20,999 KM",PETROL,MANUAL,₹7.91 Lakh
216,2022 Toyota URBAN CRUISER PREMIUM GRADE AT,2022,"30,938 KM",PETROL,AUTOMATIC,₹11.41 Lakh
217,2015 Maruti Ciaz VXI+,2015,"95,738 KM",PETROL,MANUAL,₹5.43 Lakh
218,2017 Ford Ecosport TREND 1.5L DIESEL,2017,"1,09,433 KM",DIESEL,MANUAL,"₹4.24 Lakh
₹4.57 Lakh
(33k off)"
219,2018 Renault Kwid RXT 1.0 (O),2018,"58,886 KM",PETROL,MANUAL,₹3.66 Lakh
220,2015 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,2015,"81,714 KM",PETROL,MANUAL,₹4.75 Lakh
221,2022 Tata NEXON XZ PLUS PETROL,2022,"18,598 KM",PETROL,MANUAL,₹9.75 Lakh
222,2019 Maruti New Wagon-R VXI 1.2,2019,"37,678 KM",PETROL,MANUAL,₹5.10 Lakh
223,2011 Maruti Swift Dzire VDI,2011,"1,10,407 KM",DIESEL,MANUAL,₹3.77 Lakh
224,2019 Volkswagen Ameo COMFORTLINE 1.0L,2019,"34,651 KM",PETROL,MANUAL,₹5.72 Lakh
